85,882
464,627
161,258
997,946
173,383
592,410
456,858
85,333
318,79
349,544
319,772
488,680
775,556
212,64
198,384
833,573
519,706
30,264
212,649
249,484
334,70
627,179
635,465
671,265
931,58
298,109
33,141
350,883
596,153
389,318
731,786
170,195
403,205
835,995
615,62
211,415
537,362
79,839
149,386
236,838
926,540
346,837
566,54
739,159
385,774
1,638
463,549
564,657
928,424
956,162
181,727
890,888
603,616
710,636
892,208
980,49
618,865
45,832
126,601
358,767
257,996
21,71
802,793
726,553
588,802
599,521
262,658
263,219
692,477
715,246
155,830
725,529
936,654
12,384
897,643
293,791
812,605
39,619
104,889
807,472
803,861
594,718
94,480
12,701
188,173
349,100
311,230
118,626
962,95
41,263
663,79
122,676
603,692
706,844
215,698
825,872
992,153
295,686
696,613
889,124
199,339
271,468
444,494
260,153
713,110
357,39
678,42
474,231
793,538
326,65
825,166
467,177
98,228
123,133
363,754
528,372
554,70
204,823
330,268
296,591
43,478
772,694
206,554
51,372
609,446
497,111
149,836
526,611
745,760
142,906
871,583
897,760
634,696
468,972
828,632
339,934
671,162
662,793
666,556
370,673
310,402
835,103
712,499
867,799
152,938
18,924
991,533
615,605
19,527
941,554
900,705
40,778
527,536
842,788
469,150
986,738
279,868
428,783
269,397
960,198
564,560
703,704
918,730
397,909
447,593
182,466
706,526
479,838
929,702
29,175
813,799
237,810
686,678
399,992
8,295
676,979
572,90
374,830
872,687
526,994
196,328
968,383
960,335
655,719
912,452
127,416
628,810
9,651
206,695
717,39
950,709
197,532
802,384
60,168
347,883
167,745
360,24
866,879
728,292
203,171
136,341
799,441
142,924
720,505
331,593
834,947
49,226
986,84
626,780
780,332
961,675
517,861
257,762
999,493
931,799
131,803
947,480
366,986
811,838
634,571
609,678
956,534
563,437
725,390
243,850
292,238
534,99
728,851
446,391
244,415
228,737
716,19
668,849
840,230
218,923
62,471
252,774
561,502
26,282
198,30
869,607
668,448
341,847
566,864
255,339
465,814
515,325
284,756
332,334
851,653
775,853
758,924
873,477
80,590
886,610
247,588
756,482
502,281
492,465
310,837
264,198
529,983
38,807
993,765
60,524
224,184
877,958
844,792
488,373
695,371
115,905
112,517
909,290
262,937
915,352
497,205
201,656
128,502
993,157
904,650
263,863
962,383
273,87
815,581
571,920
191,663
772,905
858,327
168,939
442,476
708,495
521,235
26,769
555,642
259,86
360,48
752,479
789,653
236,505
42,106
243,766
828,928
521,159
964,474
834,269
75,233
539,691
624,158
550,594
925,347
724,535
548,720
890,473
820,56
42,5
7,197
186,339
532,873
720,77
767,643
36,31
361,71
786,741
335,84
176,462
362,752
81,7
790,80
323,306
135,151
592,764
989,702
393,373
656,419
164,300
16,933
553,380
973,524
266,887
946,319
77,679
613,42
365,43
17,152
13,818
613,412
679,940
740,750
441,95
433,570
181,269
188,1
718,328
283,488
621,332
594,25
619,579
831,787
811,380
254,636
269,697
741,384
926,583
56,143
45,31
519,750
102,88
990,173
93,365
137,91
573,389
691,122
47,598
240,615
473,82
190,663
612,522
944,959
538,851
256,943
849,528
39,966
505,100
148,251
248,467
380,359
36,787
58,513
571,565
394,874
99,429
205,855
434,354
360,240
765,664
812,551
598,517
786,736
951,599
607,88
294,775
334,122
335,462
731,950
971,551
236,655
636,245
913,421
2,733
287,634
160,120
511,35
960,221
937,282
513,10
518,841
863,888
631,604
425,547
456,845
604,764
656,450
537,221
898,36
346,576
526,749
333,302
559,281
712,881
609,603
305,715
590,382
950,843
774,383
858,95
140,588
80,346
177,624
935,507
552,46
262,495
289,993
582,881
250,862
475,406
828,294
909,844
108,845
806,942
772,77
275,817
491,445
854,386
209,14
970,520
398,474
202,126
115,77
498,843
216,578
264,852
883,985
575,751
248,460
203,999
149,676
31,114
935,652
501,971
25,267
326,585
845,617
3,363
531,325
340,191
507,291
946,96
824,944
737,999
170,119
238,787
690,460
145,49
388,17
341,340
453,532
971,464
601,981
488,595
892,356
137,202
614,661
375,515
805,699
781,873
470,275
335,548
474,797
96,171
678,742
586,385
298,395
665,303
934,543
234,985
129,535
658,136
601,994
406,949
265,678
649,785
368,689
93,730
846,906
939,222
789,566
885,435
209,102
253,876
789,29
204,321
193,882
66,793
993,679
440,189
880,837
131,36
303,719
322,105
533,504
71,702
919,77
530,487
620,344
870,159
548,974
687,646
276,528
678,376
398,632
746,842
451,240
744,999
215,24
244,339
355,310
138,406
351,97
129,9
666,306
761,4
182,614
197,974
481,645
603,904
97,360
523,961
467,756
400,536
373,724
610,48
969,359
397,109
629,951
631,547
580,558
529,427
50,609
353,68
500,536
791,781
767,452
422,412
789,906
209,937
501,921
837,815
973,942
98,962
94,230
145,240
132,766
662,281
665,734
935,376
434,25
958,926
53,530
597,163
305,151
975,176
992,779
449,600
681,808
834,149
334,527
631,327
784,451
745,665
730,956
705,344
666,470
424,786
320,754
869,390
52,646
520,138
930,399
493,548
879,838
489,380
262,324
959,530
793,336
794,648
661,17
916,437
440,760
208,686
745,409
380,89
8,910
349,258
274,98
741,254
18,469
434,167
574,406
549,646
301,542
992,608
55,100
322,510
599,878
